iter	RMSE
0	3.011702211
1	2.864128619
2	2.735489256
3	2.619030537
4	2.516435896
5	2.42529792
6	2.345759062
7	2.275758799
8	2.215685738
9	2.161928747
10	2.115701538
11	2.075387679
12	2.040830986
13	2.011047037
14	1.98507061
15	1.962647017
16	1.943847234
17	1.927354538
18	1.913513755
19	1.901212484
20	1.890469597
21	1.881451489
22	1.873943283
23	1.86736876
24	1.861865585
25	1.856936588
26	1.852642322
27	1.849057696
28	1.845868654
29	1.843179837
30	1.84101607
31	1.839145443
32	1.837369871
33	1.835937542
34	1.834568151
35	1.833502269
36	1.832601209
37	1.831844738
38	1.83117931
39	1.830566792
40	1.830073278
41	1.82959517
42	1.829217062
43	1.828800143
44	1.828422172
45	1.828164364
46	1.827857784
47	1.827613885
48	1.82739379
49	1.827235706
50	1.827044594
51	1.826832698
52	1.826707011
53	1.826455923
54	1.826310344
55	1.826122691
56	1.825957773
57	1.825814398
58	1.825739766
59	1.825600369
60	1.82545292
61	1.825342491
62	1.825196899
63	1.825120869
64	1.824991268
65	1.824869004
66	1.824760049
67	1.824623267
68	1.824490722
69	1.824410984
70	1.824224774
71	1.824121985
72	1.824014739
73	1.823882683
74	1.8237339
75	1.823612801
76	1.823446484
77	1.823385269
78	1.823269767
79	1.823188669
80	1.823006066
81	1.822920471
82	1.822819969
83	1.822566646
84	1.8224674
85	1.822444826
86	1.822390283
87	1.822247919
88	1.822079956
89	1.821937087
90	1.821839089
91	1.82176645
92	1.821681927
93	1.821586395
94	1.821447135
95	1.8210883
96	1.820899441
97	1.820828111
98	1.82076629
99	1.820553217
100	1.820432141
101	1.820323599
102	1.820197797
103	1.820132428
104	1.819971322
105	1.819862679
106	1.81979836
107	1.819752787
108	1.819721028
109	1.819645925
110	1.8196125
111	1.819454576
112	1.81937617
113	1.819303511
114	1.819254753
115	1.81896714
116	1.818870206
117	1.818753922
118	1.818585317
119	1.81847586
120	1.818447184
121	1.818147573
122	1.817974211
123	1.817852947
124	1.817684113
125	1.817579901
126	1.817456255
127	1.817395907
128	1.817274925
129	1.817069856
130	1.816862076
131	1.816574069
132	1.816447351
133	1.816397595
134	1.816231914
135	1.81590957
136	1.815791536
137	1.815624519
138	1.815326554
139	1.815011488
140	1.814870322
141	1.814655956
142	1.814483032
143	1.814458548
144	1.814242765
145	1.813937604
146	1.813791139
147	1.813588107
148	1.813556554
149	1.813277008
150	1.813102959
151	1.812901182
152	1.812748663
153	1.812570404
154	1.812530559
155	1.81238935
156	1.81216604
157	1.812076548
158	1.811952039
159	1.811845876
160	1.81175057
161	1.811618769
162	1.811588875
163	1.811271177
164	1.811141226
165	1.811117317
166	1.811028531
167	1.811002765
168	1.810889482
169	1.810675341
170	1.810499255
171	1.810477904
172	1.810337797
173	1.810204071
174	1.810098731
175	1.80997244
176	1.809844786
177	1.809675227
178	1.809609053
179	1.809389671
180	1.809224879
181	1.809200513
182	1.809048738
183	1.808905152
184	1.808729347
185	1.80854236
186	1.808357166
187	1.808252044
188	1.808016525
189	1.807902944
190	1.807644012
191	1.807580972
192	1.807413495
193	1.807339724
194	1.807134424
