iter	Passed	Remaining
0	17	17480
1	30	15311
2	41	13728
3	49	12348
4	57	11448
5	65	10926
6	74	10513
7	81	10163
8	89	9863
9	97	9642
10	105	9453
11	112	9271
12	120	9122
13	127	9004
14	135	8897
15	143	8805
16	151	8751
17	158	8664
18	166	8594
19	173	8513
20	181	8445
21	189	8406
22	197	8371
23	204	8335
24	212	8279
25	219	8230
26	227	8186
27	234	8150
28	242	8131
29	250	8110
30	258	8093
31	266	8056
32	273	8027
33	281	7993
34	288	7956
35	295	7922
36	303	7892
37	310	7869
38	318	7844
39	326	7826
40	333	7796
41	340	7771
42	348	7750
43	355	7725
44	362	7703
45	371	7696
46	378	7670
47	385	7651
48	393	7628
49	401	7624
50	408	7603
51	416	7584
52	423	7570
53	430	7548
54	438	7533
55	445	7512
56	453	7494
57	461	7489
58	469	7486
59	477	7481
60	485	7470
61	493	7467
62	501	7453
63	509	7449
64	517	7438
65	524	7423
66	532	7409
67	540	7405
68	548	7394
69	556	7389
70	563	7377
71	571	7364
72	578	7345
73	585	7332
74	594	7329
75	601	7312
76	608	7299
77	616	7285
78	624	7275
79	631	7262
80	638	7246
81	646	7241
82	654	7230
83	661	7217
84	669	7209
85	677	7205
86	686	7201
87	694	7193
88	702	7189
89	710	7182
90	718	7174
91	727	7177
92	735	7168
93	743	7162
94	751	7156
95	758	7142
96	766	7135
97	774	7126
98	782	7120
99	789	7109
100	798	7103
101	806	7100
102	814	7088
103	822	7083
104	829	7074
105	837	7066
106	845	7056
107	853	7050
108	861	7039
109	868	7028
110	876	7017
111	884	7009
112	892	7005
113	900	6999
114	908	6989
115	915	6978
116	923	6969
117	931	6959
118	938	6948
119	947	6945
120	955	6940
121	963	6930
122	970	6921
123	977	6908
124	985	6895
125	993	6892
126	1001	6883
127	1009	6880
128	1018	6873
129	1025	6861
130	1033	6853
131	1040	6841
132	1048	6836
133	1056	6827
134	1063	6811
135	1070	6800
136	1077	6785
137	1083	6767
138	1090	6754
139	1097	6742
140	1105	6734
141	1113	6727
142	1121	6718
143	1128	6708
144	1135	6697
145	1143	6685
146	1150	6676
147	1158	6666
148	1165	6654
149	1172	6643
150	1179	6632
151	1187	6623
152	1194	6612
153	1201	6602
154	1209	6593
155	1216	6584
156	1224	6573
157	1232	6569
158	1240	6561
159	1247	6548
160	1255	6540
161	1262	6530
162	1269	6517
163	1276	6508
164	1284	6499
165	1291	6486
166	1298	6479
167	1305	6467
168	1314	6464
169	1321	6453
170	1329	6446
171	1336	6434
172	1344	6427
173	1352	6418
174	1359	6410
175	1367	6403
176	1375	6394
177	1382	6383
178	1390	6376
179	1397	6365
180	1405	6361
181	1413	6351
182	1421	6345
183	1429	6339
184	1436	6329
185	1444	6320
186	1451	6311
187	1459	6304
188	1466	6294
189	1474	6285
190	1481	6276
191	1489	6268
192	1497	6263
193	1505	6255
194	1512	6244
195	1519	6234
196	1527	6226
197	1534	6216
198	1542	6207
199	1551	6205
200	1558	6197
201	1566	6187
202	1573	6176
203	1580	6167
204	1588	6160
205	1595	6150
206	1602	6140
207	1610	6132
208	1618	6124
209	1625	6114
210	1632	6105
211	1640	6096
212	1648	6089
213	1655	6080
214	1663	6071
215	1670	6064
216	1679	6058
217	1686	6051
218	1694	6043
219	1701	6033
220	1709	6027
221	1716	6016
222	1724	6007
223	1731	5998
224	1739	5990
225	1747	5983
226	1755	5976
227	1762	5968
228	1769	5959
229	1777	5951
230	1785	5943
231	1793	5936
232	1800	5927
233	1808	5919
234	1816	5913
235	1824	5907
236	1832	5900
237	1839	5890
238	1847	5883
239	1856	5879
240	1864	5872
241	1872	5864
242	1879	5856
243	1887	5846
244	1894	5839
245	1902	5830
246	1909	5822
247	1917	5813
248	1924	5804
249	1932	5796
250	1939	5788
251	1947	5779
252	1954	5770
253	1961	5760
254	1968	5751
255	1975	5742
256	1983	5733
257	1990	5724
258	1997	5715
259	2005	5707
260	2013	5699
261	2020	5690
262	2027	5681
263	2035	5675
264	2042	5665
265	2050	5657
266	2057	5647
267	2064	5639
268	2072	5631
269	2080	5624
270	2087	5615
271	2095	5607
272	2102	5598
273	2109	5589
274	2116	5579
275	2123	5571
276	2131	5563
277	2139	5556
278	2146	5546
279	2154	5539
280	2161	5530
281	2168	5522
282	2176	5515
283	2185	5509
284	2193	5502
285	2201	5495
286	2208	5486
287	2215	5478
288	2223	5470
289	2229	5459
290	2237	5450
291	2245	5443
292	2252	5435
293	2260	5427
294	2267	5418
295	2275	5411
296	2283	5405
297	2291	5397
298	2299	5390
299	2306	5382
300	2313	5372
301	2321	5364
302	2328	5356
303	2336	5348
304	2343	5339
305	2351	5332
306	2358	5323
307	2365	5314
308	2372	5306
309	2381	5300
310	2389	5293
