iter	Logloss
0	0.6073559338
1	0.5367826199
2	0.4735675955
3	0.4252982286
4	0.3757112226
5	0.3424520032
6	0.3130748506
7	0.2862564776
8	0.2611552349
9	0.2416356088
10	0.2294227439
11	0.2156928699
12	0.2071810802
13	0.1985390222
14	0.1924274594
15	0.1868013545
16	0.1795092401
17	0.1757266147
18	0.1720107446
19	0.1669612245
20	0.1631524858
21	0.1602202504
22	0.1586317909
23	0.1562586596
24	0.1549650786
25	0.1529582728
26	0.1507777072
27	0.1491441354
28	0.1477616578
29	0.1465170999
30	0.1452195703
31	0.1441658239
32	0.1435937459
33	0.142745396
34	0.142190092
35	0.1412549046
36	0.1410650451
37	0.1404230024
38	0.1398566928
39	0.1395938985
40	0.1391302416
41	0.1386393581
42	0.1383856227
43	0.1380246096
44	0.1378365064
45	0.1374655988
46	0.137156625
47	0.1368389683
48	0.1365412025
49	0.1362920931
50	0.1361433844
51	0.1360484347
52	0.1359061459
53	0.1357159809
54	0.1355511841
55	0.1354251599
56	0.1353532914
57	0.135240265
58	0.1351182147
59	0.1349537691
60	0.1348124348
61	0.1346829089
62	0.1346199729
63	0.1344992731
64	0.134401612
65	0.1343226647
66	0.134124805
67	0.1340105941
68	0.1339113738
69	0.1338442909
70	0.1338373255
71	0.1337603851
72	0.1336361905
73	0.1336302651
74	0.1336203888
75	0.1336173391
76	0.1335206648
77	0.1335167783
78	0.1335097956
79	0.1335016666
80	0.1334071152
81	0.1333905252
82	0.1333506464
83	0.1332575479
84	0.1331266996
85	0.1330641637
86	0.1329804462
87	0.1329292586
88	0.1328644452
89	0.1328530856
90	0.1328204294
91	0.1328149915
92	0.1327670684
93	0.132762246
94	0.1327440121
95	0.1326243944
96	0.1326048477
97	0.1325836463
98	0.1325197606
99	0.1325167184
100	0.1324364909
101	0.1324206921
102	0.1324131677
103	0.1324065022
104	0.1323203158
105	0.1322437963
106	0.1322200782
107	0.1321802049
108	0.1321652655
109	0.1321524379
110	0.1321157912
111	0.1320488299
112	0.1320005097
113	0.1319275328
114	0.131921724
115	0.1318018631
116	0.1317970234
117	0.1317343137
118	0.1316645844
119	0.1316340972
120	0.1315846455
121	0.1315629962
122	0.1315003769
123	0.1314471485
124	0.1314053112
125	0.1313618893
126	0.1313227682
127	0.1312561295
128	0.1311745602
129	0.1311458793
130	0.1310509407
131	0.1310128197
132	0.1309731601
133	0.1309718833
134	0.1309257742
135	0.1308964161
136	0.1308592623
137	0.1308435288
138	0.1307589702
139	0.1307309763
140	0.1306565683
141	0.1305876312
142	0.1305183829
143	0.1304971087
144	0.1304678184
