iter	Passed	Remaining
0	27	27133
1	50	25348
2	77	25732
3	100	25074
4	128	25485
5	151	25109
6	176	25102
7	204	25301
8	231	25494
9	258	25586
10	281	25340
11	308	25390
12	331	25168
13	356	25121
14	379	24931
15	403	24804
16	430	24902
17	453	24728
18	476	24589
19	504	24700
20	533	24857
21	561	24969
22	586	24915
23	615	25046
24	640	24975
25	668	25033
26	697	25118
27	724	25139
28	749	25096
29	776	25107
30	805	25177
31	833	25212
32	861	25230
33	888	25232
34	912	25161
35	941	25219
36	964	25115
37	993	25148
38	1022	25185
39	1045	25103
40	1073	25115
41	1100	25091
42	1126	25068
43	1155	25100
44	1181	25065
45	1208	25067
46	1237	25095
47	1264	25084
48	1295	25140
49	1321	25105
50	1346	25049
51	1371	25000
52	1398	24993
53	1426	24991
54	1453	24979
55	1478	24922
56	1502	24859
57	1530	24850
58	1557	24836
59	1585	24841
60	1612	24820
61	1637	24781
62	1661	24712
63	1688	24687
64	1715	24674
65	1741	24646
66	1771	24672
67	1799	24660
68	1824	24622
69	1850	24586
70	1873	24511
71	1900	24497
72	1928	24484
73	1951	24421
74	1977	24383
75	2000	24317
76	2025	24282
77	2050	24232
78	2073	24177
79	2098	24136
80	2126	24126
81	2150	24076
82	2174	24023
83	2202	24020
84	2229	23999
85	2253	23947
86	2279	23923
87	2302	23863
88	2329	23842
89	2352	23791
90	2378	23756
91	2401	23700
92	2427	23677
93	2450	23619
94	2474	23575
95	2504	23583
96	2529	23544
97	2552	23493
98	2578	23470
99	2601	23412
100	2628	23392
101	2652	23350
102	2675	23303
103	2699	23259
104	2728	23260
105	2756	23245
106	2781	23216
107	2809	23200
108	2832	23153
109	2856	23114
110	2881	23075
111	2907	23048
112	2933	23023
113	2961	23017
114	2986	22985
115	3015	22983
116	3041	22957
117	3068	22936
118	3094	22906
119	3118	22867
120	3143	22836
121	3166	22791
122	3190	22749
123	3214	22710
124	3238	22669
125	3262	22627
126	3286	22590
127	3313	22573
128	3338	22539
129	3361	22495
130	3388	22477
131	3412	22441
132	3436	22403
133	3458	22350
134	3482	22310
135	3505	22269
136	3528	22227
137	3550	22180
138	3577	22160
139	3600	22118
140	3626	22091
141	3652	22069
142	3678	22047
143	3703	22015
144	3726	21974
145	3749	21933
146	3771	21884
147	3795	21851
148	3817	21802
149	3842	21774
150	3864	21729
151	3890	21702
152	3912	21660
153	3936	21625
154	3957	21574
155	3981	21540
156	4006	21511
157	4032	21488
158	4057	21463
159	4081	21426
160	4103	21385
161	4130	21366
162	4152	21324
163	4181	21314
164	4204	21276
165	4228	21246
166	4253	21217
