iter	MultiClass
0	0.8834863476
1	0.7617756167
2	0.6852886141
3	0.6309393549
4	0.5928414628
5	0.5638925102
6	0.5410835231
7	0.5238400852
8	0.5101753062
9	0.4990759786
10	0.4905574157
11	0.4840215626
12	0.47871603
13	0.473843345
14	0.4680199633
15	0.4631946912
16	0.4593568978
17	0.4563876433
18	0.4526529471
19	0.4506718014
20	0.4473133489
21	0.445405712
22	0.4425438885
23	0.4410462646
24	0.4388394289
25	0.4373971097
26	0.4351474324
27	0.4336724574
28	0.4309632908
29	0.4293178915
30	0.4273653753
31	0.4251513396
32	0.4231188802
33	0.421756328
34	0.420412069
35	0.418999801
36	0.4177960717
37	0.4167646401
38	0.4152195037
39	0.4134749585
40	0.411397766
41	0.4104288373
42	0.4090711873
43	0.4079703865
44	0.4070086609
45	0.4059174796
46	0.4048883305
47	0.4036201047
48	0.4021723796
49	0.4007735411
