iter	Passed	Remaining
0	7	363
1	14	343
2	21	341
3	28	323
4	34	312
5	41	300
6	47	289
7	52	277
8	59	272
9	65	263
10	71	253
11	77	244
12	83	236
13	88	228
14	94	220
15	100	212
16	105	205
17	111	198
18	117	192
19	123	185
20	129	179
21	135	172
22	141	166
23	147	159
24	153	153
25	159	147
26	165	140
27	171	134
28	177	128
29	183	122
30	189	116
31	195	109
32	201	103
33	207	97
34	212	91
35	218	85
36	225	79
37	232	73
38	237	67
39	244	61
40	250	54
41	256	48
42	261	42
43	267	36
44	274	30
45	280	24
46	286	18
47	292	12
48	298	6
49	304	0
